,Comedy,Drama,Horror,Thriller,Romance
0,Lady Bird,Black Panther,Get Out,Citizen Kane,Casablanca
1,BlacKkKlansman,Lady Bird,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),Get Out,It Happened One Night
2,Modern Times,Citizen Kane,A Quiet Place,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),The Shape of Water
3,It Happened One Night,BlacKkKlansman,The Bride of Frankenstein,The Third Man,Singin' in the Rain
4,Eighth Grade,Moonlight,King Kong,A Quiet Place,The Big Sick
5,Coco,Casablanca,Psycho,Spotlight,The Adventures of Robin Hood
6,Singin' in the Rain,Wonder Woman,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire)",Arrival,Call Me by Your Name
7,The Big Sick,La Grande illusion (Grand Illusion),The Babadook,Laura,The Philadelphia Story
8,Paddington 2,Dunkirk,Repulsion,The Maltese Falcon,Vertigo
9,The Philadelphia Story,A Quiet Place,Frankenstein,Argo,Roman Holiday
10,A Hard Day's Night,All About Eve,Aliens,Psycho,On the Waterfront
11,La La Land,Spotlight,It Follows,Alien,Carol
12,Zootopia,Selma,Let the Right One In,The Night of the Hunter,An American in Paris
13,Toy Story 2,Star Wars: The Last Jedi,Hereditary,North by Northwest,Beauty and The Beast (La Belle et la bête)
14,Up,The Shape of Water,Rosemary's Baby,Rebecca,The Red Shoes
15,Toy Story 3,Thor: Ragnarok,Freaks,Rear Window,City Lights
16,Kind Hearts and Coronets,Arrival,Don't Look Now,M,The African Queen
17,"Three Billboards Outside Ebbing, Missouri",The Godfather,Night of the Living Dead,Hell or High Water,The Artist
18,Finding Nemo,Logan,Eyes Without a Face,The 39 Steps,Annie Hall
19,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,Metropolis,The Silence of the Lambs,Touch of Evil,Miracle on 34th Street
20,The Death of Stalin,Call Me by Your Name,Halloween,Taxi Driver,Her
21,Ant-Man and the Wasp,Gravity,Pan's Labyrinth,The Lady Vanishes,Before Midnight
22,Roman Holiday,The Maltese Falcon,The Witch,Jaws,In a Lonely Place
23,Toy Story,Boyhood,Godzilla (Gojira),The Babadook,Gentlemen Prefer Blondes
24,Crazy Rich Asians,Leave No Trace,Evil Dead 2: Dead by Dawn,The Big Sleep,Only Yesterday
25,The LEGO Movie,Manchester by the Sea,It,Rashômon,The Best Years of Our Lives
26,Sorry to Bother You,Argo,The Birds,Chinatown,Gone With the Wind
27,The Gold Rush,12 Years a Slave,The Cabin in the Woods,Repulsion,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg)
28,Paterson,The Battle of Algiers (La Battaglia di Algeri),The Vanishing (Spoorloos),Harry Potter and the Deathly Hallows - Part 2,Sideways
29,To Be or Not to Be,Baby Driver,House of Wax,Vertigo,Beauty and the Beast
30,Monty Python and the Holy Grail,War for the Planet of the Apes,Drag Me to Hell,The Wages of Fear,The Princess Bride
31,The Disaster Artist,The Florida Project,A Girl Walks Home Alone at Night,High Noon,Three Colors: Red (Trois couleurs: Rouge)
32,His Girl Friday,La La Land,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),L.A. Confidential,Bringing Up Baby
33,Isle of Dogs,Alien,Young Frankenstein,Skyfall,Sunrise: A Song of Two Humans
34,La Dolce Vita,Spider-Man: Homecoming,The Evil Dead,Strangers on a Train,The Apartment
35,Shaun the Sheep Movie,The Night of the Hunter,The Loved Ones,Invasion of the Body Snatchers,Before Sunrise
36,City Lights,Seven Samurai (Shichinin no Samurai),Carrie,"The Godfather, Part II",The Hustler
37,The Artist,Sunset Boulevard,The Innocents,Nightcrawler,Groundhog Day
38,The Nice Guys,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief),Invasion of the Body Snatchers,Anatomy of a Murder,Wings of Desire
39,Birdman,Rebecca,The Love Witch,The Post,The Young Girls of Rochefort (Les Demoiselles de Rochefort)
40,Love & Friendship,Rear Window,Suspiria,Notorious,To Catch a Thief
41,Annie Hall,M,Werckmeister Harmonies,Rosemary's Baby,Bull Durham
42,Mary Poppins,Hell or High Water,Room 237,Freaks,"Crouching Tiger, Hidden Dragon"
43,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),Touch of Evil,Zombieland,In a Lonely Place,Slumdog Millionaire
44,Spy,Taxi Driver,A Nightmare on Elm Street,Don't Look Now,Enough Said
45,The Rules of the Game (La règle du jeu),All Quiet on the Western Front,The Host,Badlands,Titanic
46,Ratatouille,Kind Hearts and Coronets,The Endless,The Salesman (Forushande),Lost In Translation
47,Gentlemen Prefer Blondes,A Streetcar Named Desire,Shaun of the Dead,Casino Royale,Sense and Sensibility
48,Some Like It Hot,Jaws,The Fly,Forbidden Planet,God's Own Country
49,Tampopo,Lawrence of Arabia,Dracula,Eyes Without a Face,Elevator to the Gallows (Ascenseur pour l'échafaud)
50,The Incredibles,12 Angry Men (Twelve Angry Men),Re-Animator,The Silence of the Lambs,Your Name. (Kimi No Na Wa.)
51,Logan Lucky,The Babadook,It Comes At Night,The Conversation,Three Colors: Blue (Trois Couleurs: Bleu)
52,Sideways,Brooklyn,What Ever Happened to Baby Jane?,Halloween,Say Anything...
53,Hunt for the Wilderpeople,The Dark Knight,Train to Busan (Busanhaeng),Goldfinger,Manhattan
54,Chicken Run,The Treasure of the Sierra Madre,CAM,Kiss Me Deadly,Daughters of the Dust
55,Yellow Submarine,The 400 Blows (Les Quatre cents coups),Dawn of the Dead,Eye In The Sky,A Girl Walks Home Alone at Night
56,101 Dalmatians,"Three Billboards Outside Ebbing, Missouri",Don't Breathe,101 Dalmatians,West Side Story
57,Ghostbusters (1984 Original),The Big Sleep,Phantom Of The Opera,All Is Lost,Giant
58,Airplane!,Rashômon,We Are Still Here,Le Cercle Rouge,Four Weddings and a Funeral
59,The Grand Budapest Hotel,Chinatown,Eraserhead,No Country for Old Men,Up in the Air
60,Big,Double Indemnity,Frankenweenie,Looper,Shakespeare in Love
61,Don't Think Twice,The Wrestler,The Dead Zone,Sunrise: A Song of Two Humans,The Lunchbox
62,Bringing Up Baby,Repulsion,Let Me In,Peeping Tom,Eternal Sunshine Of The Spotless Mind
63,The Player,Army of Shadows (L'Armée des ombres),Misery,Blood Simple,The Town
64,The Apartment,The Grapes of Wrath,Little Shop of Horrors,Bridge of Spies,Before Sunset
65,Playtime,Harry Potter and the Deathly Hallows - Part 2,The Texas Chainsaw Massacre,Searching,From Here to Eternity
66,"Monsters, Inc.",Creed,Upgrade,Assault on Precinct 13,Midnight in Paris
67,Paddington,Vertigo,The Blair Witch Project,To Catch a Thief,Dave
68,What We Do In The Shadows,Open City,Bone Tomahawk,Sicario,Enchanted
69,Groundhog Day,The Wages of Fear,The Shining,Blue Velvet,To All the Boys I've Loved Before
70,Back to the Future,Apocalypse Now,Gerald's Game,The Fugitive,A Summer's Tale
71,Anomalisa,The Death of Stalin,The Devil's Candy,Ex Machina,The Crying Game
72,Duck Soup,The Hurt Locker,The Wicker Man,10 Cloverfield Lane,Big Night
73,Bull Durham,L.A. Confidential,The Conjuring,The Manchurian Candidate,Million Dollar Baby
74,Moonrise Kingdom,Roman Holiday,Backcountry,Who Framed Roger Rabbit,Howards End
75,The Lego Batman Movie,Hidden Figures,Cronos,It,Knocked Up
76,Enough Said,The Last Picture Show,The Exorcist,Diva,The Little Mermaid
77,The Muppets,Star Wars: Episode IV - A New Hope,Henry: Portrait of a Serial Killer,L'Avventura,About a Boy
78,The Edge of Seventeen,Tokyo Story (Tôkyô monogatari),The Orphanage,Jurassic Park,Revanche
79,Who Framed Roger Rabbit,On the Waterfront,28 Days Later,The Birds,Monsoon Wedding
80,Broadcast News,Star Trek,Near Dark,In the Heat of the Night,Masculin Feminin
81,Lost In Translation,The Social Network,This Is the End,The Cabin in the Woods,The Remains of the Day
82,Deadpool 2,Paterson,Chronicle,In the Line of Fire,Brief Encounter
83,Tangerine,Carol,"Goodnight Mommy (Ich seh, Ich seh)",Elevator to the Gallows (Ascenseur pour l'échafaud),Hamlet
84,The Taste of Others (Le goût des autres),Blade Runner 2049,The House of the Devil,Rope,Out of Sight
85,The Band's Visit,"The Godfather, Part II",An American Werewolf in London,Wake in Fright,Southside With You
86,Le Havre,Phantom Thread,Better Watch Out,The Vanishing (Spoorloos),Strictly Ballroom
87,Repo Man,To Be or Not to Be,Dead Alive,Three Colors: Blue (Trois Couleurs: Bleu),The Quiet Man
88,The Truman Show,Cool Hand Luke,Poltergeist,Blue Ruin,The Last of the Mohicans
89,Hannah Gadsby: Nanette,Nightcrawler,The Descent,Gone Girl,Moonstruck
90,Silver Linings Playbook,Anatomy of a Murder,They Live,Close Encounters of the Third Kind,The Duke Of Burgundy
91,Guardians of the Galaxy Vol. 2,Battleship Potemkin,Donnie Darko: The Director's Cut,The Bourne Ultimatum,High Fidelity
92,Say Anything...,His Girl Friday,Los ojos de Julia (Julia's Eyes),Dr. No,Obvious Child
93,Juno,The Conformist,Save the Green Planet,Body Heat,The Spectacular Now
94,Wallace & Gromit: The Curse of the Were-Rabbit,Au Hasard Balthazar,Slither,Mandy,The Graduate
95,Elaine Stritch: Shoot Me,"I, Tonya",Ginger Snaps,House of Wax,The Piano
96,Manhattan,La Dolce Vita,The Omen,The Killer,The General
97,Monsieur Lazhar,It's a Wonderful Life,The Thing,Drag Me to Hell,Crazy Heart
98,We Are the Best!,Let the Right One In,Split,The Departed,Their Finest
99,Monty Python's Life of Brian,Beauty and The Beast (La Belle et la bête),The Conjuring 2,A Girl Walks Home Alone at Night,Y Tu Mama Tambien
